program_path,revenue,quantity,null_hits,count_of_order
Email > Natural Search: Google > SEO > SEM,0.0,0,0,1
Natural Search: Bing > Social > Display > Natural Search: Bing,0.0,0,0,1
SEM > SEO > SEM > Natural Search: Google > SEO > Natural Search: Google,0.0,0,0,1
absent > SEM > Natural Search: Google > SEO > Natural Search: Google > SEM,0.0,0,0,1
Natural Search: Google > Display > Natural Search: Google > Display > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Display > SEM > Natural Search: Google,0.0,0,0,1
SEM > Natural Search: Bing > SEM > Natural Search: Bing > SEO > Natural Search: Bing,0.0,0,0,1
Email > SEO > Natural Search: DuckDuckGo > Email > Natural Search: DuckDuckGo > Email,0.0,0,256,0
SEO > Email > SEO > Email > SEO > Email,0.0,0,256,0
Natural Search: Yahoo! > SEM > Natural Search: Yahoo! > SEM > Email > SEM > Natural Search: Google > SEM > Natural Search: Google,0.0,0,256,0
Natural Search: Google > absent > Display > SEO > SEM > Display > Natural Search: Google > Display > Natural Search: Google > Display > Natural Search: Google > SEO > Natural Search: Google,0.0,0,256,0
Natural Search: Google > Social > SEM > Natural Search: Google > SEM > Natural Search: Google > Social > SEO > Natural Search: Google > Social > Email > Natural Search: Yahoo!,0.0,0,256,0
Natural Search: DuckDuckGo > SEM > Natural Search: DuckDuckGo > SEM > Natural Search: DuckDuckGo,0.0,0,256,0
Natural Search: Google > SEO > SEM > Natural Search: Google > Social > SEO > Natural Search: Google > SEM > Social > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > SEO > Natural Search: Google > SEM > Natural Search: Google > SEO > Natural Search: Google,0.0,0,768,0
SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM,0.0,0,1280,0
Natural Search: Yahoo! > absent > Display > Natural Search: Google > Natural Search: Yahoo! > Display > SEM > absent,0.0,0,257,0
Natural Search: DuckDuckGo > Natural Search: Yahoo! > Display > SEM > Natural Search: Yahoo! > Email,0.0,0,257,0
SEM > Natural Search: Google > Display > Natural Search: Google > Display > SEM > absent > Natural Search: DuckDuckGo > SEM,0.0,0,257,0
SEM > Natural Search: Google > SEM > Natural Search: Google > SEO > SEM > Natural Search: Google > Natural Search: Bing > SEM,0.0,0,257,0
Email > Natural Search: Google > Email > Natural Search: Google > Email > Natural Search: Google > Email > SEM,0.0,0,257,0
Social > Video,0.0,0,2,0
SEM > Natural Search: Google > SEM > Natural Search: Yahoo! > Natural Search: Google > Natural Search: Yahoo! > Natural Search: Google > Email > SEM > Email > SEM,0.0,0,258,0
Natural Search: Bing > absent > Video,0.0,0,3,0
Social > absent > Natural Search: Bing,0.0,0,3,0
Email > absent > Social,0.0,0,3,0
absent > SEM > Natural Search: Google > SEM > Email > SEO > SEM > Natural Search: Google > Email,0.0,0,259,0
Natural Search: Google > SEO > Email > Natural Search: Google > SEO > Natural Search: Google > SEO > Natural Search: Google > Email,0.0,0,1795,0
Social > Natural Search: Bing > Natural Search: Google,0.0,0,4,0
absent > Video > Natural Search: DuckDuckGo,0.0,0,4,0
SEM > Natural Search: Yahoo! > Display > SEM > Display,0.0,0,260,0
Natural Search: Google > Social > SEM > Social > SEM > Social,0.0,0,260,0
Video > SEM > Natural Search: Google > SEM,0.0,0,5,0
absent > SEO > Display > SEM,0.0,0,5,0
Natural Search: Bing > Video,0.0,0,5,0
Natural Search: Google > Video > SEO,0.0,0,5,0
Natural Search: Google > SEO > Natural Search: Google > Natural Search: Yahoo! > Natural Search: Google,0.0,0,5,0
Natural Search: Google > Natural Search: Yahoo! > Natural Search: Google > SEM,0.0,0,261,0
SEM > Email > SEM > Natural Search: DuckDuckGo,0.0,0,261,0
SEM > Natural Search: Google > SEM > Social > SEM > Natural Search: Google > SEM,0.0,0,261,0
Natural Search: Google > SEM > SEO > Natural Search: Google > SEO > Natural Search: Google > Display > Natural Search: Google > SEM > Natural Search: Google > SEM > Email > SEO > SEM > Email > SEM,0.0,0,261,0
Natural Search: Google > SEO > Natural Search: Google > SEO > Natural Search: Google > SEM > Natural Search: Google,0.0,0,261,0
SEM > Display > SEO > Email,0.0,0,261,0
Email > SEO > Email > SEO > Email > SEO > Email,0.0,0,261,0
SEO > Natural Search: Google > SEM > Natural Search: Google > SEO > Natural Search: Google > SEO > Natural Search: Yahoo! > Natural Search: Google > SEO > Natural Search: Google,0.0,0,773,0
absent > Video > SEM > Video,0.0,0,6,0
Video > SEM > Social,0.0,0,6,0
Natural Search: Bing > Natural Search: DuckDuckGo > Display,0.0,0,6,0
Video > Display > Natural Search: Google > Video,0.0,0,6,0
Natural Search: Google > SEM > Natural Search: Google > SEM > Email > Natural Search: Google > SEO > Natural Search: Google > SEM > Natural Search: Google > Natural Search: DuckDuckGo > Natural Search: Google > SEM > Natural Search: Google > SEO > Natural Search: Bing > Email > Natural Search: Google,0.0,0,262,0
absent > Natural Search: Google > Display > Natural Search: Google > Display > Natural Search: Google > SEM,0.0,0,262,0
absent > Display > Natural Search: Google > SEO > Email,0.0,0,262,0
SEM > Natural Search: Google > Display > SEM > Natural Search: Google,0.0,0,518,0
SEM > Natural Search: Google > SEM > Natural Search: Google > Display > SEM > Natural Search: Google > SEM > Natural Search: Google,0.0,0,518,0
absent > Email > SEM > SEO > Natural Search: Google > SEO,0.0,0,518,0
SEO > Natural Search: Google > absent,0.0,0,7,0
Natural Search: Google > absent > Natural Search: Google > Video,0.0,0,7,0
Natural Search: Bing > SEM > Natural Search: Google > SEO,0.0,0,7,0
absent > SEM > Natural Search: Bing > SEM > Email,0.0,0,7,0
Natural Search: Bing > Social > Natural Search: Bing > Social,0.0,0,7,0
Natural Search: DuckDuckGo > absent > Natural Search: Bing,0.0,0,7,0
Natural Search: Google > Social > Email > SEM > Natural Search: Google,0.0,0,7,0
Social > Natural Search: Yahoo! > SEM > Social > Natural Search: Yahoo!,0.0,0,7,0
Natural Search: Bing > SEO > SEM,0.0,0,7,0
Natural Search: Google > SEM > Email > Natural Search: Google > Display,0.0,0,7,0
absent > SEM > Natural Search: Google > SEM > Email,0.0,0,263,0
SEM > Display > SEM > Natural Search: Google > SEO,0.0,0,263,0
Natural Search: Google > SEM > Natural Search: Google > Display > SEM > Natural Search: Google > SEM > Natural Search: Google,0.0,0,263,0
SEO > Natural Search: Google > SEM > Natural Search: Google > Email > Natural Search: Google,0.0,0,263,0
SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > Display > Natural Search: Google > SEM > Natural Search: Google > SEM > Display > SEM > Natural Search: Google > Display > Natural Search: Google > SEM,0.0,0,263,0
SEM > Natural Search: Yahoo! > SEM > Natural Search: Yahoo! > SEM > Natural Search: Yahoo! > SEM > Natural Search: Yahoo! > SEO > Natural Search: Yahoo! > SEM > Natural Search: Yahoo!,0.0,0,263,0
Display > Natural Search: Yahoo! > SEM > Natural Search: Yahoo!,0.0,0,8,0
Social > SEO > Natural Search: Google,0.0,0,8,0
Natural Search: Google > Display > absent > Natural Search: Google,0.0,0,8,0
Natural Search: Google > absent > Natural Search: Google > Natural Search: Yahoo!,0.0,0,8,0
SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Display > SEM,0.0,0,264,0
SEM > Natural Search: Google > Email > SEO,0.0,0,264,1
SEM > Email > SEM > Email > SEO > Natural Search: Google > SEM > Natural Search: Google > SEM > SEO > SEM > Natural Search: Google > SEM > Social > SEM > Email,0.0,0,264,0
Display > Natural Search: Google > Display > Natural Search: Google > Natural Search: DuckDuckGo > Natural Search: Google,0.0,0,9,0
Email > SEM > Display > SEM > Email > SEM,0.0,0,9,0
absent > Natural Search: Google > absent > SEO > Natural Search: Google,0.0,0,9,0
Natural Search: Google > Video > SEM > absent,0.0,0,9,0
Social > SEM > Natural Search: Bing > Social,0.0,0,9,0
absent > Natural Search: Yahoo! > SEO > Natural Search: Yahoo!,0.0,0,9,0
SEM > absent > Natural Search: Google > Social,0.0,0,9,0
Natural Search: Google > absent > SEM > absent > Natural Search: Google > SEM,0.0,0,9,0
Natural Search: DuckDuckGo > SEO > Natural Search: Google,0.0,0,9,0
SEM > SEO > Natural Search: Yahoo!,0.0,0,9,0
Natural Search: Google > Video > Email,0.0,0,9,0
Video > Natural Search: Bing > Natural Search: Google,0.0,0,9,0
Display > Natural Search: Google > SEM > Display > SEM > Natural Search: Google,0.0,0,9,0
Email > SEO > absent,0.0,0,9,0
Natural Search: Google > Social > SEM > Social > Display,0.0,0,9,0
SEM > absent > Social > SEM,0.0,0,10,0
Natural Search: Bing > Social > Natural Search: Bing > SEM > Natural Search: Bing,0.0,0,10,0
Social > Email > SEM > Natural Search: Google,0.0,0,10,0
Email > Natural Search: Google > SEM > SEO > Natural Search: Google,0.0,0,10,0
Video > SEO > Video,0.0,0,10,0
Social > Display > Email,0.0,0,10,0
Natural Search: Google > absent > SEM > Email,0.0,0,10,0
Natural Search: Google > Email > Social > Email,0.0,0,10,0
SEO > SEM > Natural Search: Bing > SEM,0.0,0,10,0
Display > Natural Search: Google > Social,0.0,0,10,0
Natural Search: Google > SEO > absent > Natural Search: Google,0.0,0,10,0
absent > Natural Search: DuckDuckGo > Email,0.0,0,10,0
Display > absent > Display > absent > Display > absent,0.0,0,10,0
Social > Natural Search: Google > Display > Social,0.0,0,10,0
Natural Search: Google > Social > Video,0.0,0,10,0
SEO > Natural Search: Google > Natural Search: DuckDuckGo,0.0,0,10,0
Natural Search: Google > SEO > absent,0.0,0,10,0
Natural Search: Bing > Display > SEM,0.0,0,266,0
Display > Social > Display > Email > Display > Social > Display > Social > SEM > Display > SEM > Display > SEM > Display > SEM > Social > Display > SEO > Social > Display > SEO > Display > SEO,0.0,0,266,0
absent > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google,0.0,0,522,0
Natural Search: Google > absent > Natural Search: Google > Display > SEM > Natural Search: Google > SEM,0.0,0,11,0
Display > Email > Social > Natural Search: Google > Email,0.0,0,11,0
SEM > Natural Search: Google > absent > SEM > Natural Search: Google,0.0,0,11,0
SEM > Natural Search: Google > Natural Search: DuckDuckGo > Natural Search: Google > Natural Search: DuckDuckGo,0.0,0,11,0
Email > SEM > Natural Search: Yahoo!,0.0,0,11,0
absent > Display > Social > Natural Search: Google,0.0,0,11,0
Natural Search: Google > SEM > Email > Natural Search: Yahoo! > Natural Search: Google,0.0,0,11,0
SEM > Email > Natural Search: Google > Email > Natural Search: Google > Email,0.0,0,11,0
Natural Search: Google > SEM > absent > Social,0.0,0,11,0
Natural Search: Yahoo! > SEM > Natural Search: Google > Social,0.0,0,11,0
absent > SEM > Natural Search: Google > absent > Natural Search: Google > absent > Natural Search: Google,0.0,0,11,0
Social > Natural Search: Bing > Social > Natural Search: Bing,0.0,0,11,0
Social > SEM > Social > SEM > Social > SEM > Social > SEM > Social,0.0,0,267,0
absent > Email > SEO > Natural Search: Google,0.0,0,267,0
Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > Email,0.0,0,523,0
Natural Search: DuckDuckGo > Natural Search: Google > SEM,0.0,0,12,0
absent > SEM > Social > Natural Search: Bing,0.0,0,12,0
Display > Video > Display,0.0,0,12,0
Natural Search: Google > SEO > SEM > absent,0.0,0,12,0
SEM > Email > Natural Search: Yahoo! > Social,0.0,0,12,0
absent > Email > SEM > Social,0.0,0,12,0
Display > Social > Email,0.0,0,12,0
Natural Search: Bing > Natural Search: DuckDuckGo > Natural Search: Bing > Social,0.0,0,12,0
absent > SEM > Natural Search: Bing > absent,0.0,0,12,0
SEM > Natural Search: Google > absent > SEO,0.0,0,12,0
absent > SEM > Natural Search: Bing > SEO > Natural Search: Bing,0.0,0,12,0
Natural Search: Google > SEO > Email > SEO,0.0,0,12,0
Display > Social > Display > Social,0.0,0,12,0
absent > SEO > Email > Social,0.0,0,12,0
Natural Search: Yahoo! > SEO > SEM,0.0,0,12,0
Natural Search: Google > SEO > Natural Search: Google > SEO > Display,0.0,0,12,0
SEM > Natural Search: Yahoo! > SEO,0.0,0,12,0
SEM > SEO > Email > SEO > Email,0.0,0,268,0
absent > Natural Search: Yahoo! > Natural Search: DuckDuckGo > Natural Search: Yahoo!,0.0,0,268,0
SEM > absent > SEM > absent > Natural Search: Google > SEM > Natural Search: Google > absent > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > SEO > SEM,0.0,0,268,0
Natural Search: Google > Email > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google,0.0,0,268,0
Natural Search: Google > SEO > SEM > Email > SEO > Natural Search: Google > SEO,0.0,0,13,0
absent > Email > Display > Natural Search: Google > SEM > Email,0.0,0,13,0
SEO > Email > SEO > Email > SEO,0.0,0,13,0
absent > Email > SEM > absent,0.0,0,13,0
Natural Search: Yahoo! > absent > Natural Search: Yahoo! > SEM,0.0,0,13,0
absent > SEO > Email > Natural Search: DuckDuckGo,0.0,0,13,0
Email > SEM > Email > SEM > Natural Search: Bing,0.0,0,13,0
Natural Search: DuckDuckGo > Natural Search: Google > SEO > Natural Search: DuckDuckGo > Natural Search: Google,0.0,0,13,0
absent > Natural Search: Google > Social > Display > Natural Search: Google,0.0,0,13,0
Email > absent > Natural Search: Google > SEO,0.0,0,13,0
SEM > Natural Search: Google > SEM > Natural Search: Bing > SEM,0.0,0,13,0
Social > SEM > Natural Search: Yahoo! > Social,0.0,0,13,0
Natural Search: Yahoo! > Natural Search: Bing > Natural Search: Yahoo!,0.0,0,13,0
Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > SEO > SEM > Natural Search: Google,0.0,0,269,0
absent > SEM > Display > Natural Search: Yahoo!,0.0,0,14,0
Natural Search: Google > SEO > Natural Search: Google > Natural Search: DuckDuckGo,0.0,0,14,0
Display > Natural Search: Yahoo! > SEO > Natural Search: Yahoo!,0.0,0,14,0
SEM > Natural Search: DuckDuckGo > Natural Search: Google > Natural Search: DuckDuckGo,0.0,0,14,0
Natural Search: Yahoo! > Email > Display > Email,0.0,0,14,0
Video > Natural Search: Google > Video,0.0,0,14,0
Display > Natural Search: Bing > Social,0.0,0,14,0
Natural Search: Google > SEO > SEM > Natural Search: Google > Display > Natural Search: Google,0.0,0,14,0
SEM > Display > Email > SEM > Email > Display,0.0,0,14,0
absent > Natural Search: Google > SEM > Display > SEM > Display > SEM,0.0,0,14,0
Natural Search: Google > absent > Email > Natural Search: Google,0.0,0,14,0
Email > Social > Natural Search: Google > Email > SEM,0.0,0,14,0
absent > Social > Video,0.0,0,14,0
Social > Display > SEM > Natural Search: Google,0.0,0,14,0
Email > SEO > SEM > SEO,0.0,0,14,0
Email > absent > SEM,0.0,0,270,0
absent > Natural Search: Yahoo! > SEM > Natural Search: Yahoo!,0.0,0,270,0
Natural Search: Google > absent > Natural Search: Google > SEM > Natural Search: Google > SEM,0.0,0,270,0
absent > SEO > Natural Search: Bing,0.0,0,270,1
Display > Natural Search: Google > Display > SEM > Display,0.0,0,270,0
Natural Search: Yahoo! > Email > Natural Search: Yahoo!,0.0,0,526,0
absent > Natural Search: Google > SEM > Natural Search: DuckDuckGo,0.0,0,15,0
SEM > Email > Display > Social,0.0,0,15,0
absent > SEM > absent > Social > SEM > Social > SEM,0.0,0,15,0
Email > Social > SEM > Natural Search: Bing,0.0,0,15,0
absent > SEM > Email > Natural Search: Yahoo! > SEM,0.0,0,15,0
SEM > Natural Search: Bing > SEO,0.0,0,15,0
Email > SEO > Natural Search: Google > Display,0.0,0,15,0
Video > SEM > Video > SEM,0.0,0,15,0
Display > Natural Search: Google > SEO > Email > Natural Search: Google,0.0,0,15,0
Email > SEO > Natural Search: Bing > Email,0.0,0,15,0
Natural Search: DuckDuckGo > Natural Search: Google > Natural Search: DuckDuckGo > SEO > Natural Search: DuckDuckGo > Natural Search: Google,0.0,0,15,0
absent > Social > absent > SEM > Social > SEM,0.0,0,15,0
absent > Display > Natural Search: Google > absent,0.0,0,15,0
Display > SEO > Natural Search: Google > SEO,0.0,0,15,0
Social > absent > Social > absent > SEM,0.0,0,15,0
Natural Search: Google > Social > Display > Natural Search: Google,0.0,0,15,0
Natural Search: Google > SEM > Video,0.0,0,15,0
Social > SEO > SEM,0.0,0,15,0
absent > Natural Search: Bing > SEM > Social,0.0,0,15,0
Social > absent > Social > Natural Search: Google > Social,0.0,0,15,0
SEM > Social > SEM > Social > Natural Search: Google > SEM > Social > Display > SEM > Display,0.0,0,271,0
Natural Search: Yahoo! > Email > SEO > Display > Email > SEM > Email,0.0,0,271,0
absent > Natural Search: Google > SEM > Social > Natural Search: Google > SEM,0.0,0,527,0
absent > Natural Search: Google > SEO > Natural Search: Google > Email > SEM > Natural Search: Google > SEO > Natural Search: Google > SEM > Natural Search: Google,0.0,0,1807,0
Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google > Social > Natural Search: Google > Social,0.0,0,16,0
SEM > absent > SEM > Natural Search: Google > SEM > absent > SEM > absent,0.0,0,16,0
Natural Search: Bing > Display > SEM > Display > SEM,0.0,0,16,0
Social > Email > Natural Search: Bing,0.0,0,16,0
absent > Natural Search: Google > SEO > Natural Search: Google > SEO > Video,0.0,0,16,0
Email > Natural Search: Google > SEO > Display,0.0,0,16,0
absent > Natural Search: Google > Natural Search: Bing > SEM > Natural Search: Bing > SEM > Natural Search: Bing,0.0,0,16,0
Natural Search: Google > Display > SEM > Natural Search: Google > SEO > Natural Search: Google > SEO,0.0,0,16,0
Natural Search: Bing > SEM > Natural Search: Bing > Social,0.0,0,16,0
Display > SEM > Email > Natural Search: Google,0.0,0,16,0
SEM > Display > Natural Search: Bing,0.0,0,16,0
absent > Display > absent > Email > Natural Search: Google,0.0,0,16,0
Video > Display > Video,0.0,0,16,0
Natural Search: Google > SEM > Natural Search: Google > absent > SEM > Natural Search: Google > Social > Natural Search: Google,0.0,0,16,0
absent > Social > Natural Search: Google > SEO > Natural Search: Google,0.0,0,16,0
absent > Social > absent,0.0,0,16,0
SEM > Email > SEO > Email > SEM,0.0,0,272,0
Natural Search: Google > SEM > Natural Search: Google > Email > SEM > Natural Search: Google > Email > SEM > Email,0.0,0,272,0
SEO > SEM > Natural Search: Google > SEO > Natural Search: Google,0.0,0,17,0
Email > Social > SEM > Natural Search: Google,0.0,0,17,0
SEO > Video > Email,0.0,0,17,0
absent > Social > Natural Search: Google > SEM,0.0,0,17,0
SEM > Social > Email > SEM > Display,0.0,0,17,0
Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Yahoo! > Display,0.0,0,17,0
Display > Email > Display > Email > Social,0.0,0,17,0
SEM > Natural Search: Google > SEM > Video,0.0,0,17,0
SEO > Natural Search: Google > SEO > Display,0.0,0,17,0
absent > SEO > SEM > SEO > Natural Search: Google > Email,0.0,0,17,0
SEM > absent > Display > SEM,0.0,0,17,0
SEM > Social > absent > SEM,0.0,0,17,0
Natural Search: DuckDuckGo > absent > Natural Search: Google,0.0,0,17,0
absent > SEM > Natural Search: Yahoo! > Social,0.0,0,17,0
absent > SEM > Natural Search: Yahoo! > absent,0.0,0,17,0
SEO > Natural Search: Yahoo! > Natural Search: Google > Natural Search: Yahoo! > SEO,0.0,0,17,0
Email > Social > SEM > Email > SEM > Email,0.0,0,17,0
Email > Natural Search: Google > Email > SEM > Natural Search: Google > SEM,0.0,0,17,0
absent > Natural Search: Google > SEM > Social > SEM > Social,0.0,0,17,0
Natural Search: Yahoo! > absent > Natural Search: Google,0.0,0,17,0
absent > Video > Natural Search: Google > SEM > Natural Search: Google,0.0,0,17,0
Video > Natural Search: Google > SEM > Natural Search: Google > Display,0.0,0,17,0
absent > SEO > absent > SEO > Email > SEO > Email,0.0,0,273,0
absent > Social > Natural Search: Google > SEM > Social,0.0,0,529,0
Natural Search: Google > SEM > Natural Search: Google > SEM > Email,0.0,0,785,0
Natural Search: DuckDuckGo > Video > Natural Search: DuckDuckGo,0.0,0,18,0
SEM > Display > SEM > Natural Search: Google > SEM > Natural Search: Google > SEO,0.0,0,18,0
Email > absent > Email > Display > Email,0.0,0,18,0
Natural Search: Google > Natural Search: Bing > SEO > Natural Search: Bing,0.0,0,18,0
SEM > Natural Search: Google > Video > SEM > Video > SEM,0.0,0,18,0
SEM > Display > Natural Search: Google > SEM > Social,0.0,0,18,0
absent > SEM > Email > Natural Search: Google > Social,0.0,0,18,0
Social > SEM > Natural Search: Google > Social,0.0,0,18,0
SEO > SEM > Display > Email,0.0,0,18,0
Display > Natural Search: Google > SEO > Natural Search: Google > SEM,0.0,0,18,0
Email > SEM > Natural Search: DuckDuckGo,0.0,0,18,0
Email > Display > Email > SEM > Natural Search: Google,0.0,0,18,0
Natural Search: Google > Social > Display > Email,0.0,0,18,0
SEM > Natural Search: Yahoo! > Video > Natural Search: Google,0.0,0,18,0
Natural Search: Google > Video > Natural Search: Google > Video > Natural Search: Google,0.0,0,18,0
Natural Search: Bing > SEM > SEO > Email,0.0,0,18,0
Natural Search: Google > Display > Natural Search: Google > Display > SEM > Display > SEO > Natural Search: Google > Email > Display > Natural Search: Google > Display > Social > Natural Search: Google > Display > Natural Search: Google,0.0,0,274,0
SEM > Natural Search: Google > SEM > SEO > Display > Natural Search: Google > Display > Natural Search: Google > SEM > Natural Search: Google > SEM > Natural Search: Google,0.0,0,274,0
absent > SEM > SEO > SEM > Natural Search: Google > SEO > Natural Search: Google,0.0,0,274,0
Email > Natural Search: Google > Display > Email,0.0,0,19,0
Display > SEO > Natural Search: Bing > Display,0.0,0,19,0
Email > absent > Social > Natural Search: Google > Social,0.0,0,19,0
Social > SEM > Email > Display,0.0,0,19,0
Display > Email > SEM > Natural Search: Bing,0.0,0,19,0
SEM > absent > Video > Display > Natural Search: Google > SEM,0.0,0,19,0
SEM > Display > Natural Search: Google > absent > SEM,0.0,0,19,0
Natural Search: Google > absent > SEO > Natural Search: Google > Display > Natural Search: Google,0.0,0,19,0
SEM > absent > Natural Search: Google > SEM > Natural Search: Google > Display,0.0,0,19,0
Display > Natural Search: Google > SEM > Email > SEM,0.0,0,19,0
Display > Natural Search: DuckDuckGo > Natural Search: Google,0.0,0,19,0
SEO > Natural Search: Bing > Email > absent,0.0,0,19,0
Natural Search: Google > Natural Search: Bing > Email > Natural Search: Google,0.0,0,275,0
SEM > Display > Natural Search: Google > Email,0.0,0,275,0
Email > SEO > Natural Search: Google > SEO > Natural Search: Google,0.0,0,275,0
Display > SEM > Social > SEM > Natural Search: Google > SEM > SEO > Natural Search: Google,0.0,0,275,0
Natural Search: Google > Natural Search: Bing > Display,0.0,0,275,0
absent > Email > Natural Search: Bing,0.0,0,531,0
Email > Natural Search: Google > SEM > Email > SEM > Email > Display,0.0,0,20,0
absent > Natural Search: Google > SEO > Display,0.0,0,20,0
absent > Display > Natural Search: Bing > Video,0.0,0,20,0
absent > Social > Natural Search: Bing > SEM,0.0,0,20,0
absent > SEM > Video > SEM > Video,0.0,0,20,0
Natural Search: Bing > Display > Email > Display > Email,0.0,0,20,0
Email > Natural Search: Bing > Display,0.0,0,20,0
Social > Natural Search: Google > Social > Natural Search: Google > Social > Natural Search: Google,0.0,0,20,0
Email > SEM > Display > Natural Search: Google > SEM,0.0,0,20,0
Social > absent > Social > Email > Natural Search: Yahoo!,0.0,0,20,0
SEM > Display > Natural Search: Yahoo!,0.0,0,20,0
Natural Search: DuckDuckGo > absent > Display > Natural Search: DuckDuckGo > Display,0.0,0,20,0
absent > Social > absent > Social > absent > Social,0.0,0,20,0
SEM > Natural Search: Google > SEM > Natural Search: Google > SEM > Email > SEM > Natural Search: Google > SEM,0.0,0,20,0
Email > Display > Natural Search: Google > Display,0.0,0,20,0
Display > SEM > Natural Search: Google > Social,0.0,0,20,0
Natural Search: Yahoo! > Social > Natural Search: Yahoo! > SEO,0.0,0,20,0
absent > SEM > Display > Natural Search: Google > SEO,0.0,0,20,0
absent > Natural Search: DuckDuckGo > Natural Search: Google > SEM > Natural Search: Google > Natural Search: DuckDuckGo > Natural Search: Google,0.0,0,20,0
Natural Search: Google > Display > absent > SEM > Display,0.0,0,20,0
SEM > Natural Search: DuckDuckGo > Natural Search: Google,0.0,0,20,0
SEM > Display > Natural Search: Google > Display > SEM > Natural Search: Google,0.0,0,20,0
SEM > Natural Search: Bing > Email > Natural Search: Bing,0.0,0,20,0
Natural Search: Google > Display > SEO > Natural Search: Google > SEO,0.0,0,20,0
Social > Email > SEM > Email,0.0,0,276,0
Natural Search: Google > SEM > Natural Search: Google > Display > Natural Search: Google > SEM > Natural Search: Google > SEO > Natural Search: Google,0.0,0,276,0
Email > SEO > Natural Search: Yahoo! > Email,0.0,0,13844,0
Natural Search: Google > SEO > Natural Search: Google > Display > Natural Search: Google > Display,0.0,0,21,0
absent > Natural Search: Google > absent > SEM > absent > SEM,0.0,0,21,0
Email > Natural Search: Yahoo! > Social > absent,0.0,0,21,0
SEM > Natural Search: Google > SEM > Natural Search: Google > Display > SEM > Display,0.0,0,21,0
SEM > Email > Social > SEM,0.0,0,21,0
absent > Natural Search: DuckDuckGo > Natural Search: Google,0.0,0,21,0
Email > Natural Search: Google > SEM > Natural Search: Google > Email > Natural Search: Google,0.0,0,21,0
absent > Display > Natural Search: Google > SEO > Natural Search: Google,0.0,0,21,0
